region,provincia,comune,PRO_COM2011,data_elezioni,elettori,votanti,voti_non_validi,schede_bianche,totalevotilista,totaleseggi,DCtotalevoti,DCtotaleseggi,PSItotalevoti,PSItotaleseggi,PCItotalevoti,PCItotaleseggi,OtherParties_voti,OtherParties_seggi
Puglia,Brindisi,Torre Santa Susanna,74019,07/06/1970,5317,4821,178,126,4643,20,1655,7,0,0,2352,11,636,2
Puglia,Foggia,Apricena,71004,07/06/1970,802,7015,150,104,6865,30,1704,7,161,0,4066,19,934,4
Puglia,Foggia,Bovino,71007,07/06/1970,4496,3567,142,53,3425,20,1552,10,384,2,860,5,629,3
Puglia,Foggia,Cerignola,71020,07/06/1970,26368,24688,740,437,23948,40,7445,13,920,1,12815,23,2768,3
Puglia,Foggia,Mattinata,71031,07/06/1970,3318,2615,69,29,2546,20,1175,9,374,3,827,7,170,1
Puglia,Foggia,Orsara di Puglia,71035,07/06/1970,3425,2917,99,61,2818,20,1161,8,269,2,1273,10,115,0
Puglia,Foggia,Orta Nova,71036,07/06/1970,8277,7647,225,95,7422,30,1344,6,2031,9,2089,9,1958,6
Puglia,Barletta-Andria-Trani,San Ferdinando di Puglia,110007,07/06/1970,8070,7424,114,73,7310,30,1976,8,585,2,3086,14,1663,6
Puglia,Foggia,San Severo,71051,07/06/1970,29971,27116,513,308,26603,40,8757,14,1674,2,10888,18,5284,6
Puglia,Foggia,Serracapriola,71053,07/06/1970,4924,4021,130,89,3891,20,1545,8,0,0,1305,7,1041,5
Puglia,Foggia,Vico del Gargano,71059,07/06/1970,5601,4573,240,56,4333,20,3146,16,339,1,730,3,118,0
Puglia,Foggia,Vieste,71060,07/06/1970,7334,5823,163,90,5660,30,2417,13,655,3,1736,10,852,4
Puglia,Lecce,Alessano,75002,07/06/1970,4245,3334,121,68,3213,20,1738,12,707,4,493,3,275,1
Puglia,Lecce,Alezio,75003,07/06/1970,3817,3054,91,64,2963,20,1327,9,0,0,207,1,1429,10
Puglia,Lecce,Calimera,75010,07/06/1970,4314,3793,93,67,3700,20,2391,14,818,4,491,2,0,0
Puglia,Lecce,Carmiano,75014,07/06/1970,6397,5721,193,125,5528,20,2121,8,918,3,1357,5,1132,4
Puglia,Lecce,Castrignano del Capo,75019,07/06/1970,4001,3104,82,50,3022,20,1452,10,1521,10,0,0,49,0
Puglia,Lecce,Collepasso,75021,07/06/1970,4178,3399,131,79,3268,20,1852,12,304,2,208,1,904,5
Puglia,Lecce,Copertino,75022,07/06/1970,12420,10547,277,168,10270,30,5274,16,761,2,3823,11,412,1
Puglia,Lecce,Cutrofiano,75026,07/06/1970,6096,5053,141,70,4912,20,1522,6,2641,12,305,1,444,1
Puglia,Lecce,Galatone,75030,07/06/1970,9242,7789,218,150,7571,30,4620,19,725,2,1497,6,729,3
Puglia,Lecce,Guagnano,75034,07/06/1970,4438,3920,101,71,3819,20,2038,11,222,1,1369,7,190,1
Puglia,Lecce,Lecce,75035,07/06/1970,51677,47221,1778,891,45443,40,17448,17,3662,3,4955,4,19378,16
Puglia,Lecce,Lequile,75036,07/06/1970,3739,3442,140,87,3302,20,1403,9,1461,9,327,2,111,0
Puglia,Lecce,Lizzanello,75038,07/06/1970,4783,4495,185,135,4310,20,2481,12,456,2,889,4,484,2
Puglia,Lecce,Martano,75040,07/06/1970,5858,4657,211,82,4446,20,2280,11,343,1,1329,6,494,2
Puglia,Lecce,Melendugno,75043,07/06/1970,4495,3878,103,47,3775,20,1104,6,2671,14,0,0,0,0
Puglia,Lecce,Melissano,75044,07/06/1970,3946,3499,73,51,3426,20,1385,8,418,2,1623,10,0,0
Puglia,Lecce,Muro Leccese,75051,07/06/1970,3376,2835,120,65,2715,20,2061,16,290,2,285,2,79,0
